food_name,cluster_id
양상추샌드위치,3728
돼지갈비찜,2107
파운드,2253
전복죽,2748
계란장조림,618
콩나물곤약비빔면,3217
짜장면,4354
파전병,122
가토쇼콜라,4122
닭고기조림,2713
녹차팥파운드케이크,3842
훈제연어롤,3138
쑥전,3777
조개구이,3961
클램차우더스프,1932
칠리새우,456
노오븐마늘빵,1518
등갈비구이,3824
장미꽃쿠키,1519
몬테크리스토,3651
감자전,1893
계라주먹밥,1253
시금치크림스파게티,1315
블루베리타르트,2440
탕평채,2425
사블레린처쿠키,3373
달래콩나물밥,4628
피넛버터머핀,4946
메추리알꼬치,48
근대된장국,3966
봉골레스파게티,3283
스트로베리치즈케이크,3876
초코브라우니,3024
카프레제크로와상샌드위치,4464
오믈렛버거,2913
오징어부추부침개,818
커피,2126
쑥국,1035
스프링롤,2564
호박볶음,2529
해물닭찜,1497
바베큐립,2030
마늘쫑닭안심조림,245
스콘,871
빵푸딩,3793
아몬드카스테라,4774
초코버터케이크,277
돼지목살김치찌개,1447
베치번즈,4539
꽈리고추달걀장조림,1743
쫄면,3949
어니언스프,1072
닭날개구이,2016
김치삼겹살말이,2614
감자계란그라탕,3982
닭고기야채조림,3189
볶음우동,1633
롤샌드위치,1420
파스타과자,1951
브로콜리볶음밥,125
떡볶이그라탕,1501
골뱅이무침,1757
토마토마리네이드,2347
티라미스,595
김치볶음밥그라탕,198
뮈슬리크런치쿠키,1423
닭가슴살양파샌드위치,2326
상추겉절이,2201
새우달래전,3375
뼈다귀감자탕,3811
묵은지유부초밥,2641
모시조개순두부탕,3781
바나나쨈,514
허브빵,674
돼지고기보쌈,2813
미트볼야채조림,2104
삼겹살김치말이,3051
또띠아피자,524
고추잡채,4098
소시지,73
수플레치즈케이크,4856
초코쉬폰,2941
오렌지갈레트,152
오코노미야끼,178
부추전,97
도넛,4894
오징어토마토덮밥,463
양파감자스프,107
굴소스짜장볶음밥,597
버섯볶음,1701
참깨베이글,401
뚝배기달걀찜,820
크림치즈머핀,2449
마늘쫑볶음,1456
굴생채,2057
국밥,3486
단호박찜,2277
크랜베리버터케이크,2633
쥐포볶음,1738
오삼불고기,428
피망잡채,3529
연포탕,3279
소고기콩나물두부국,4189
고구마파이,1211
참치야채죽,4061
양송이버섯장조림,3427
아이스크림,3389
두부야채죽,1479
굴전,1734
메추리알떡갈비구이,3675
홍합떡국,4512
과일식빵카나페,3033
두부야채계란말이,1479
김치볶음밥베이컨말이,198
삼각김밥볶음밥,2925
베이컨감자말이,2159
메추리알감자보트,4956
KFC비스킷,3913
마늘조림,631
찹쌀도넛,2667
도토리묵,1136
오이볶음,1143
치킨카레우동,3123
묵은지삼겹살두루치기,942
떡잡채,322
과일타르트,3269
황태오븐구이,1703
궁중떡볶이,1059
녹차아이스크림,2496
해물콩나물밥,1490
새송이버섯라이스그라탕,3642
코코넛마들렌,940
벨기에와플,2181
달걀말이,672
양파즙,853
코코넛머핀,1051
치킨퀘사디아,4323
닭봉케찹조림,2732
닭가슴살볶음밥,4697
치킨도리아,395
매콤짜장덮밥,4842
통밀브레드,3592
돼지고기안심장조림,3666
오이부추무침,465
녹차팥롤케이크,3842
쑥떡떡볶이,1118
치킨시저샐러드,1129
비엔나마늘종볶음,253
흑미식빵,3086
피자빵,4304
버터링쿠키,1128
젤리,3041
홍차젤리,1150
포도젤리,1234
사시미곤약쫄면,4285
팽이버섯무침,4388
브레드,1943
치킨양파샌드위치,4236
피자호떡,105
열무된장국,231
푸실리,542
소세지야채볶음,1848
햄두부덮밥,2991
무화과닭갈비,1396
돈까스,1126
만두,4262
레어치즈케이크,4856
카누레,4518
치킨,4826
두부지짐찌개,609
마늘종볶음,2765
카레두부햄버거,3827
오이숙장아찌,3337
감자핫케익,2315
단호박치즈케이크,1087
생크림얼그레이스콘,2535
오징어볶음밥,4248
쌀모닝빵,1931
맛살햄계란말이,2661
달걀볶음밥,2489
동파육,1299
샌드,3886
크렌베리생크림식빵,1582
두부강정,2660
초콜릿무스,886
버섯덮밥,3637
호두파이,1356
김치비빔국수,44
콘샐러드,2164
햄치즈샌드위치,3265
조림,2730
전자렌지찹쌀떡,291
참외컵샐러드,3411
피클,2367
초코칩비스코티,2387
녹차케이크,1374
꿀카스테라,4037
바나나커피아이스크림,2923
초코너트쿠키,974
닭가슴살비빔국수,10
마파가지,3108
고구마라떼,1211
갈비탕,4803
식빵치즈스틱,4999
바지락부추부침개,1742
닭볶음탕,270
참치스카치에그,3358
크림치즈연어야채머핀,1968
삼계탕,1382
에그타르트,548
크림치즈브레,3479
통밀비스코티,815
애호박돼지고기찌개,4594
오이소박이,2290
소세지빵,4781
두부계란구이,453
까망베르복숭아케이크,3137
플레인스콘,1399
감자베이컨햄말이,343
메추리알치즈구이,48
군만두계란말이,754
햄깻잎계란말이,3868
코코넛새우튀김,371
삼치데리야끼,3693
표고버섯해물스파게티,55
닭가슴살,2380
블루베리요거트아이스크림,415
양파피클,3246
어묵무침,649
초코쉬폰케익,3101
플레인요구르트,4307
머핀,1474
닭다리양념구이,209
무화과 오트밀 쿠키오트밀쿠키,566
키위머핀,3272
해물볶음우동,1063
마론치즈케이크,68
양파계란샌드위치,3802
애호박들깨볶음,441
마늘쫑두반장볶음,1456
닭가슴살볼튀김,4530
매실,2488
오징어김밥말이,2317
오색계란말이,4300
참치포테이토피자,3248
미니호두파이,2272
닭안심짜장덮밥,531
어묵샌드크로켓,561
소세지롤빵,173
허니비스켓,3492
초코청크쿠키,1301
초코머핀,2446
찰떡,799
크랜베리사브레,379
샐러드,2997
초코쿠키,1301
치킨데리야끼,1336
참치볼조림,1776
샌드위치,2472
새우주먹밥,175
호밀식빵,1709
새우덮밥,175
고구마만주,1211
주스,617
깻잎장아찌,1177
바나나통밀팬케이크,1331
스팸볶음밥그라탕,3967
감자크로켓,2110
초콜릿머핀,1270
레몬차,4038
식빵핫도그,2280
프리타타,1783
파프리카잡채,1956
블루베리치즈케이크,4815
또띠아,1415
블루베리머핀케이크,4815
굴소스볶음밥,597
감자채카레볶음,2064
파인애플샤벳,4003
애호박치키피자,3308
양념치킨,4048
쨈,4453
길거리토스트,4343
김치감자샐러드,1723
돼지갈비김치찜,2508
브로콜리파운드케익,2947
고추장멸치볶음,1061
스팸감자채볶음,425
블루베리소보루치즈타르트,2440
토마토튀김,1340
호두빵,132
감자베이글,1893
커피빙수,354
두부감자채탕수,2791
감자주먹밥구이,4634
옥수수맛탕,1909
건포도모카머핀,1610
브로콜리계란샌드위치,2861
새우구이,3193
매쉬드포테이토,1537
연어구이,2548
